"spp","abu","occ","month","year"
"act_hyp",1,2,7,2011
"ana_pla",13.5555555555556,54,7,2011
"ana_que",2,1,7,2011
"ana_str",14.3103448275862,29,7,2011
"ans_ans",54.5,20,7,2011
"ard_cin",5.55384615384615,65,7,2011
"ayt_fer",61.28,25,7,2011
"ayt_ful",39.6206896551724,29,7,2011
"buc_cla",4.33333333333333,6,7,2011
"cic_nig",3,1,7,2011
"cir_aer",1.16666666666667,6,7,2011
"cyg_olo",7.30434782608696,23,7,2011
"cas_alb",1.90909090909091,11,7,2011
"ful_atr",28.8214285714286,28,7,2011
"gal_chl",1.6,5,7,2011
"hal_alb",1,2,7,2011
"lar_rid",32.4583333333333,24,7,2011
"net_ruf",6.57142857142857,7,7,2011
"nyc_nyc",3.83333333333333,6,7,2011
"pha_car",2.81818181818182,11,7,2011
"pod_cri",7.1,30,7,2011
"pod_nig",2.6,5,7,2011
"ste_hir",12.8571428571429,7,7,2011
"tac_ruf",3.72727272727273,22,7,2011
"tri_och",1.33333333333333,3,7,2011
"van_van",1,1,7,2011
"ana_cly",3,1,7,2011
