"spp","den","occ","month","year"
"ana_pla",1.49397032278375,93,5,2014
"ana_que",0.304012436788934,4,5,2014
"ana_str",1.22073089753741,50,5,2014
"ans_ans",0.484824590157577,12,5,2014
"ard_cin",0.398075672196956,51,5,2014
"ayt_fer",1.08598271898728,39,5,2014
"ayt_ful",0.830625601508396,37,5,2014
"buc_cla",0.202637247953005,13,5,2014
"cha_dub",0.133133341604779,2,5,2014
"cic_nig",0.198861101296914,4,5,2014
"cir_aer",0.202888602836082,6,5,2014
"cyg_olo",0.256937707799786,38,5,2014
"cas_alb",0.307210348585489,9,5,2014
"ful_atr",0.818724499311122,24,5,2014
"gal_chl",0.4,1,5,2014
"hal_alb",0.00335570469798658,1,5,2014
"lar_cac",0.0157894736842105,1,5,2014
"lar_rid",2.16519949800327,23,5,2014
"net_ruf",0.250482513582469,15,5,2014
"nyc_nyc",0.0970871978247104,2,5,2014
"pha_car",0.124998762712539,5,5,2014
"pod_cri",0.502986188396327,28,5,2014
"ste_hir",0.255829633432163,21,5,2014
"tac_ruf",0.328186334859844,10,5,2014
"van_van",0.521044825003546,6,5,2014
"ana_cly",0.0871839581517001,1,5,2014
