"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"AO_5_2005",26,0.718151163153479,0.495563638686141,3.6097243209051e-05,0.7487378848052
"AO_5_2006",27,0.676688243847649,0.436223258536081,0.000106352779160559,0.172317477131708
"AO_5_2007",28,0.584388785005334,0.316183723272319,0.00109278772853305,0.520945278474286
"AO_5_2008",28,0.446413601341763,0.168488376673035,0.0172522743853427,0.466407769452728
"AO_5_2009",30,0.516600323382359,0.240692890337284,0.00346943996680513,0.762322541285678
"AO_5_2010",24,0.693038133405526,0.456679211370316,0.000173949201407911,0.104034002874182
"AO_5_2011",28,0.667138070963414,0.423729867487584,0.000105552365547605,0.397477916818956
"AO_5_2012",29,0.613095328071521,0.352770543573612,0.000406052574401023,0.683214560900924
"AO_5_2013",24,0.58952342046018,0.317880493419755,0.00243261667247626,0.328945784679343
"AO_5_2014",26,0.585833815054311,0.315834644646967,0.00166319650587031,0.316329582703957
"AO_5_2015",29,0.772074696292797,0.581140052828045,9.3247395500322e-07,0.0932886680126044
"AO_5_2016",28,0.428477950748955,0.152193098673333,0.0229116080414338,0.165027716449778
"AO_7_2005",23,0.685783688426164,0.445075422897651,0.000303742379013834,0.781142719227148
"AO_7_2006",21,0.694769175283744,0.455478112552057,0.00047368137198147,0.265964321548825
"AO_7_2007",27,0.606489660773671,0.342542896970377,0.000797654322300322,0.740434096020702
"AO_7_2008",27,0.606801574519645,0.342936476873101,0.000791363600077538,0.178875296501194
"AO_7_2009",24,0.797455048001869,0.619386124201103,3.07054313054e-06,0.469159867381115
"AO_7_2010",26,0.814776485643531,0.649854918289192,4.04013122891544e-07,0.067360420609494
"AO_7_2011",27,0.690609712023809,0.456019445315273,6.68410626665336e-05,0.546899790852769
"AO_7_2012",25,0.518747852970803,0.237321045177549,0.00788648128352338,0.13518223684938
"AO_7_2013",24,0.601465443766932,0.332749801866014,0.00187773001802585,0.840171465686895
"AO_7_2014",28,0.629339435286601,0.372839975760968,0.000333442550905357,0.437891841318659
"AO_7_2015",28,0.709135345416208,0.483752666507739,2.39541850770458e-05,0.268384361563469
"AO_7_2016",28,0.609406902595417,0.347198956505208,0.000576950076616389,0.99779629626797
