"spp","abu","occ","month","year"
"act_hyp",3,1,7,2012
"alc_ath",1,1,7,2012
"ana_pla",27.8103448275862,58,7,2012
"ana_que",1,1,7,2012
"ana_str",9.66666666666667,30,7,2012
"ans_ans",46.25,24,7,2012
"ard_cin",4.39622641509434,53,7,2012
"ayt_fer",11.7692307692308,39,7,2012
"ayt_ful",13.2444444444444,45,7,2012
"buc_cla",2.21428571428571,14,7,2012
"cic_cic",1,1,7,2012
"cic_nig",2.5,4,7,2012
"cir_aer",1.25,4,7,2012
"cyg_olo",5.9,30,7,2012
"cas_alb",4.875,16,7,2012
"ful_atr",23.1081081081081,37,7,2012
"gal_chl",1,1,7,2012
"hal_alb",1.25,4,7,2012
"lar_cac",4,1,7,2012
"lar_rid",21.625,32,7,2012
"net_ruf",2.85,20,7,2012
"nyc_nyc",2.11111111111111,9,7,2012
"pha_car",12.4,10,7,2012
"phi_pug",1,1,7,2012
"pod_cri",6.57575757575758,33,7,2012
"ste_hir",6.5,8,7,2012
"tac_ruf",2.10526315789474,19,7,2012
"tri_ery",2,1,7,2012
"van_van",45,3,7,2012
