"spp","den","occ","month","year"
"act_hyp",0.00526315789473684,1,7,2007
"alc_ath",0.232313049853372,2,7,2007
"ana_pla",0.936039320249139,39,7,2007
"ana_que",0.609137055837564,1,7,2007
"ana_str",1.2260797636451,25,7,2007
"ans_ans",5.27517526807196,9,7,2007
"ard_cin",0.613933943681484,56,7,2007
"ayt_fer",0.717446158719107,24,7,2007
"ayt_ful",2.71971677566582,39,7,2007
"buc_cla",0.782823605223835,4,7,2007
"cha_dub",0.31436651518555,2,7,2007
"cic_nig",0.103377552971849,2,7,2007
"cir_aer",0.037037037037037,1,7,2007
"cyg_olo",0.439015180353291,25,7,2007
"cas_alb",0.794868298395125,14,7,2007
"ful_atr",1.07427340902492,25,7,2007
"gal_chl",0.0389863547758285,1,7,2007
"hal_alb",0.0194969779684149,1,7,2007
"lar_rid",1.29841633445719,28,7,2007
"net_ruf",0.242333373759598,4,7,2007
"nyc_nyc",0.190760218561361,6,7,2007
"pha_car",0.325304821838601,9,7,2007
"pod_cri",0.844156335559429,24,7,2007
"pod_nig",0.0378010264508488,2,7,2007
"ste_hir",0.290082538309746,6,7,2007
"tac_ruf",0.347319234946545,11,7,2007
"tri_och",1.29606948065138,3,7,2007
"tri_tot",1.05263157894737,1,7,2007
"van_van",2.29248974862129,3,7,2007
