"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"AO_5_2005",27,0.633930921912915,0.377943150307652,0.00038467085094523,0.756121196308008
"AO_5_2006",31,0.68552186533333,0.451662304672505,2.08470563082321e-05,0.227735496991611
"AO_5_2007",33,0.607098792838249,0.348200200532294,0.000179578542425049,0.402174593854411
"AO_5_2008",31,0.353265471267516,0.094617061920545,0.0512421508969561,0.321941398066774
"AO_5_2009",34,0.410541304725739,0.142561167976097,0.0158780550413962,0.673800362678842
"AO_5_2010",26,0.707535167512503,0.479797930486401,5.29038116618337e-05,0.114733795801892
"AO_5_2011",32,0.628192082296966,0.374446135335951,0.000118346008820908,0.421788341721172
"AO_5_2012",35,0.62138210595201,0.367513167706366,6.78420694497118e-05,0.484991687120486
"AO_5_2013",29,0.620797061910394,0.362625621412748,0.000326583027611288,0.286222055507637
"AO_5_2014",31,0.606089991277548,0.345529390544984,0.000301851221437582,0.533255512166231
"AO_5_2015",35,0.782439835664279,0.600460947841445,2.81966032585622e-08,0.0454146743219492
"AO_5_2016",31,0.480487272575426,0.204346226662384,0.00622130449696798,0.121122762953644
"AO_7_2005",27,0.725256099269498,0.507036265908712,1.87020637093744e-05,0.799846961054693
"AO_7_2006",23,0.720302209666331,0.495922667214495,0.000106193584943249,0.146666178488042
"AO_7_2007",29,0.613793568757574,0.353658935605498,0.000398205902921086,0.868520250419626
"AO_7_2008",31,0.581937937598438,0.315846651603093,0.000594555756027337,0.142521279910179
"AO_7_2009",26,0.792623454946068,0.612762438886085,1.38616863303604e-06,0.817517901151433
"AO_7_2010",28,0.816083337230711,0.653145552278908,1.20199468534552e-07,0.0726509511407536
"AO_7_2011",30,0.706833586486962,0.481742780378379,1.26452730411615e-05,0.207316436959323
"AO_7_2012",29,0.618230731013432,0.359328097390491,0.000351387053643532,0.429874186423174
"AO_7_2013",25,0.606333268096421,0.340146120348333,0.00131387360756261,0.769360031395136
"AO_7_2014",31,0.645211678122334,0.396170458191832,8.8953554681699e-05,0.209986830524114
"AO_7_2015",33,0.748792281245817,0.54651858627439,5.38960321345976e-07,0.0957434765989045
"AO_7_2016",29,0.611299408240104,0.350490187496728,0.00042686297325305,0.997560622443681
