"spp","abu","occ","month","year"
"ana_cre",5,1,7,2006
"ana_pla",15.8823529411765,51,7,2006
"ana_str",23.0434782608696,23,7,2006
"ans_ans",18.9375,16,7,2006
"ard_cin",2.06122448979592,49,7,2006
"ayt_fer",48.5294117647059,34,7,2006
"ayt_ful",19.7777777777778,54,7,2006
"buc_cla",1.66666666666667,3,7,2006
"cir_aer",1,2,7,2006
"cyg_olo",8.51515151515152,33,7,2006
"cas_alb",1,2,7,2006
"ful_atr",24.25,40,7,2006
"hal_alb",1,2,7,2006
"lar_rid",93.8076923076923,26,7,2006
"net_ruf",4.4,5,7,2006
"pha_car",5.3,10,7,2006
"pod_cri",9.13513513513514,37,7,2006
"pod_nig",1,1,7,2006
"ste_hir",10.8,5,7,2006
"tac_ruf",2.23076923076923,13,7,2006
"van_van",2,1,7,2006
