"spp","den","occ","month","year"
"act_hyp",0.241545893719807,1,5,2007
"ana_cre",0.133333333333333,1,5,2007
"ana_pla",1.21739600819455,76,5,2007
"ana_que",0.0933004070059908,3,5,2007
"ana_str",1.08283829912304,68,5,2007
"ans_ans",0.488905594566806,7,5,2007
"ard_cin",0.482046470455939,46,5,2007
"ayt_fer",1.38634710616135,50,5,2007
"ayt_ful",1.69181365955872,47,5,2007
"buc_cla",0.347564130596402,12,5,2007
"cha_dub",0.235955831608006,3,5,2007
"cic_nig",0.0902158318258375,2,5,2007
"cir_aer",0.0836192884233339,2,5,2007
"cyg_olo",0.335202228750039,27,5,2007
"cas_alb",0.140233257502034,5,5,2007
"ful_atr",1.10756602630524,41,5,2007
"gal_chl",0.521235521235521,2,5,2007
"hal_alb",0.520833333333333,1,5,2007
"lar_rid",3.10522361274526,32,5,2007
"net_ruf",0.373811206234322,15,5,2007
"pha_car",0.335515364530102,4,5,2007
"pod_cri",0.598857398155613,32,5,2007
"pod_nig",0.0588235294117647,1,5,2007
"ste_hir",0.100930838357779,4,5,2007
"tac_ruf",0.935370972730513,15,5,2007
"tri_gla",1.11111111111111,1,5,2007
"tri_och",0.32258064516129,1,5,2007
"van_van",0.528684765305042,9,5,2007
