"","year","spp"
"2",2005,"act_hyp"
"3",2005,"ana_pla"
"4",2005,"ana_str"
"5",2005,"ans_ans"
"6",2005,"ard_cin"
"7",2005,"ayt_fer"
"8",2005,"ayt_ful"
"9",2005,"buc_cla"
"10",2005,"cas_alb"
"11",2005,"cir_aer"
"12",2005,"cyg_olo"
"13",2005,"ful_atr"
"14",2005,"lar_rid"
"15",2005,"net_ruf"
"16",2005,"nyc_nyc"
"17",2005,"pha_car"
"18",2005,"pod_cri"
"19",2005,"pod_nig"
"20",2005,"ste_hir"
"21",2005,"tac_ruf"
"22",2005,"van_van"
"23",2006,"ana_pla"
"24",2006,"ana_str"
"25",2006,"ans_ans"
"26",2006,"ard_cin"
"27",2006,"ayt_fer"
"28",2006,"ayt_ful"
"29",2006,"buc_cla"
"30",2006,"cas_alb"
"31",2006,"cir_aer"
"32",2006,"cyg_olo"
"33",2006,"ful_atr"
"34",2006,"hal_alb"
"35",2006,"lar_rid"
"36",2006,"net_ruf"
"37",2006,"pha_car"
"38",2006,"pod_cri"
"39",2006,"pod_nig"
"40",2006,"ste_hir"
"41",2006,"tac_ruf"
"42",2006,"van_van"
"43",2007,"act_hyp"
"44",2007,"ana_pla"
"45",2007,"ana_que"
"46",2007,"ana_str"
"47",2007,"ans_ans"
"48",2007,"ard_cin"
"49",2007,"ayt_fer"
"50",2007,"ayt_ful"
"51",2007,"buc_cla"
"52",2007,"cas_alb"
"53",2007,"cha_dub"
"54",2007,"cic_nig"
"55",2007,"cir_aer"
"56",2007,"cyg_olo"
"57",2007,"ful_atr"
"58",2007,"gal_chl"
"59",2007,"hal_alb"
"60",2007,"lar_rid"
"61",2007,"net_ruf"
"62",2007,"pha_car"
"63",2007,"pod_cri"
"64",2007,"pod_nig"
"65",2007,"ste_hir"
"66",2007,"tac_ruf"
"67",2007,"tri_och"
"68",2007,"van_van"
"69",2008,"ana_cre"
"70",2008,"ana_pla"
"71",2008,"ana_str"
"72",2008,"ans_ans"
"73",2008,"ard_cin"
"74",2008,"ayt_fer"
"75",2008,"ayt_ful"
"76",2008,"buc_cla"
"77",2008,"cas_alb"
"78",2008,"cha_dub"
"79",2008,"cic_nig"
"80",2008,"cir_aer"
"81",2008,"cyg_olo"
"82",2008,"ful_atr"
"83",2008,"gal_chl"
"84",2008,"hal_alb"
"85",2008,"lar_rid"
"86",2008,"net_ruf"
"87",2008,"nyc_nyc"
"88",2008,"pha_car"
"89",2008,"pod_cri"
"90",2008,"pod_nig"
"91",2008,"ste_hir"
"92",2008,"tac_ruf"
"93",2008,"tri_och"
"94",2009,"act_hyp"
"95",2009,"ana_cre"
"96",2009,"ana_pla"
"97",2009,"ana_str"
"98",2009,"ans_ans"
"99",2009,"ard_cin"
"100",2009,"ayt_fer"
"101",2009,"ayt_ful"
"102",2009,"buc_cla"
"103",2009,"cas_alb"
"104",2009,"cic_nig"
"105",2009,"cir_aer"
"106",2009,"cyg_olo"
"107",2009,"ful_atr"
"108",2009,"gal_chl"
"109",2009,"hal_alb"
"110",2009,"lar_rid"
"111",2009,"net_ruf"
"112",2009,"nyc_nyc"
"113",2009,"pha_car"
"114",2009,"pod_cri"
"115",2009,"ste_hir"
"116",2009,"tac_ruf"
"117",2009,"tri_och"
"118",2010,"ana_cly"
"119",2010,"ana_pla"
"120",2010,"ana_que"
"121",2010,"ana_str"
"122",2010,"ans_ans"
"123",2010,"ard_cin"
"124",2010,"ayt_fer"
"125",2010,"ayt_ful"
"126",2010,"buc_cla"
"127",2010,"cic_nig"
"128",2010,"cir_aer"
"129",2010,"cyg_olo"
"130",2010,"ful_atr"
"131",2010,"gal_chl"
"132",2010,"hal_alb"
"133",2010,"lar_rid"
"134",2010,"net_ruf"
"135",2010,"nyc_nyc"
"136",2010,"pha_car"
"137",2010,"pod_cri"
"138",2010,"ste_hir"
"139",2010,"tac_ruf"
"140",2010,"tri_och"
"141",2011,"ana_cly"
"142",2011,"ana_pla"
"143",2011,"ana_que"
"144",2011,"ana_str"
"145",2011,"ans_ans"
"146",2011,"ard_cin"
"147",2011,"ayt_fer"
"148",2011,"ayt_ful"
"149",2011,"buc_cla"
"150",2011,"cas_alb"
"151",2011,"cic_nig"
"152",2011,"cir_aer"
"153",2011,"cyg_olo"
"154",2011,"ful_atr"
"155",2011,"gal_chl"
"156",2011,"hal_alb"
"157",2011,"lar_rid"
"158",2011,"net_ruf"
"159",2011,"nyc_nyc"
"160",2011,"pha_car"
"161",2011,"pod_cri"
"162",2011,"ste_hir"
"163",2011,"tac_ruf"
"164",2011,"tri_och"
"165",2011,"van_van"
"166",2012,"ana_pla"
"167",2012,"ana_que"
"168",2012,"ana_str"
"169",2012,"ans_ans"
"170",2012,"ard_cin"
"171",2012,"ayt_fer"
"172",2012,"ayt_ful"
"173",2012,"buc_cla"
"174",2012,"cas_alb"
"175",2012,"cic_nig"
"176",2012,"cir_aer"
"177",2012,"cyg_olo"
"178",2012,"ful_atr"
"179",2012,"gal_chl"
"180",2012,"hal_alb"
"181",2012,"lar_cac"
"182",2012,"lar_rid"
"183",2012,"net_ruf"
"184",2012,"nyc_nyc"
"185",2012,"pha_car"
"186",2012,"pod_cri"
"187",2012,"ste_hir"
"188",2012,"tac_ruf"
"189",2012,"van_van"
"190",2013,"act_hyp"
"191",2013,"ana_pla"
"192",2013,"ana_que"
"193",2013,"ana_str"
"194",2013,"ans_ans"
"195",2013,"ard_cin"
"196",2013,"ayt_fer"
"197",2013,"ayt_ful"
"198",2013,"buc_cla"
"199",2013,"cas_alb"
"200",2013,"cir_aer"
"201",2013,"cyg_olo"
"202",2013,"ful_atr"
"203",2013,"gal_chl"
"204",2013,"hal_alb"
"205",2013,"lar_rid"
"206",2013,"net_ruf"
"207",2013,"nyc_nyc"
"208",2013,"pha_car"
"209",2013,"pod_cri"
"210",2013,"ste_hir"
"211",2013,"tac_ruf"
"212",2014,"ana_pla"
"213",2014,"ana_que"
"214",2014,"ana_str"
"215",2014,"ans_ans"
"216",2014,"ard_cin"
"217",2014,"ayt_fer"
"218",2014,"ayt_ful"
"219",2014,"buc_cla"
"220",2014,"cas_alb"
"221",2014,"cha_dub"
"222",2014,"cic_nig"
"223",2014,"cir_aer"
"224",2014,"cyg_olo"
"225",2014,"ful_atr"
"226",2014,"gal_chl"
"227",2014,"hal_alb"
"228",2014,"lar_cac"
"229",2014,"lar_rid"
"230",2014,"net_ruf"
"231",2014,"nyc_nyc"
"232",2014,"pha_car"
"233",2014,"pod_cri"
"234",2014,"ste_hir"
"235",2014,"tac_ruf"
"236",2014,"van_van"
"237",2015,"ana_cly"
"238",2015,"ana_cre"
"239",2015,"ana_pla"
"240",2015,"ana_str"
"241",2015,"ans_ans"
"242",2015,"ard_cin"
"243",2015,"ayt_fer"
"244",2015,"ayt_ful"
"245",2015,"buc_cla"
"246",2015,"cas_alb"
"247",2015,"cha_dub"
"248",2015,"cic_nig"
"249",2015,"cir_aer"
"250",2015,"cyg_olo"
"251",2015,"ful_atr"
"252",2015,"gal_chl"
"253",2015,"hal_alb"
"254",2015,"lar_cac"
"255",2015,"lar_rid"
"256",2015,"net_ruf"
"257",2015,"nyc_nyc"
"258",2015,"pha_car"
"259",2015,"pod_cri"
"260",2015,"pod_nig"
"261",2015,"ste_hir"
"262",2015,"tac_ruf"
"263",2015,"tri_och"
"264",2015,"van_van"
"265",2016,"ana_cre"
"266",2016,"ana_pla"
"267",2016,"ana_str"
"268",2016,"ans_ans"
"269",2016,"ard_cin"
"270",2016,"ayt_fer"
"271",2016,"ayt_ful"
"272",2016,"buc_cla"
"273",2016,"cas_alb"
"274",2016,"cic_nig"
"275",2016,"cir_aer"
"276",2016,"cyg_olo"
"277",2016,"ful_atr"
"278",2016,"gal_chl"
"279",2016,"hal_alb"
"280",2016,"lar_cac"
"281",2016,"lar_rid"
"282",2016,"net_ruf"
"283",2016,"nyc_nyc"
"284",2016,"pha_car"
"285",2016,"pod_cri"
"286",2016,"ste_hir"
"287",2016,"tac_ruf"
"288",2016,"tri_gla"
"289",2016,"van_van"
