"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"DO_5_2005",26,0.695930034207194,0.462831888032944,7.88804068986158e-05,0.688553296296272
"DO_5_2006",27,0.772954832853686,0.581357540577144,2.29257580883579e-06,0.492233022379637
"DO_5_2007",28,0.652569879142826,0.40376465667081,0.000167508129237879,0.904311017901781
"DO_5_2008",28,0.691594827994352,0.458238152497328,4.58408454566161e-05,0.928850687132953
"DO_5_2009",30,0.626709024316243,0.371077208343682,0.000210983867761578,0.794477116919278
"DO_5_2010",24,0.772760776890129,0.578848273677102,9.60971501256626e-06,0.926594197878453
"DO_5_2011",28,0.699499847399293,0.46965773022362,3.44083338910303e-05,0.377035120253248
"DO_5_2012",29,0.74904728728941,0.544815240025092,2.94429066411564e-06,0.493008374813302
"DO_5_2013",24,0.691644068661943,0.454661132156849,0.00018150178857154,0.239358599668106
"DO_5_2014",26,0.703386488773912,0.473700575614263,6.11551119875559e-05,0.764137850112481
"DO_5_2015",29,0.649019516772981,0.399790271417131,0.000139688317561311,0.991591631679504
"DO_5_2016",28,0.527638985521657,0.250649164390105,0.00390735240360883,0.552388982361015
"DO_7_2005",23,0.669368284566948,0.421770752783341,0.000477510262678981,0.583682037797425
"DO_7_2006",21,0.295555591284378,0.0393190605678509,0.193340247335994,0.301959031485871
"DO_7_2007",27,0.474107385031875,0.193768925043433,0.0124767428272337,0.261865609704883
"DO_7_2008",27,0.679244539221664,0.439828069824949,9.78387442483201e-05,0.0908562066680142
"DO_7_2009",24,0.669274767703437,0.422834565351967,0.000348336639961229,0.707088148140122
"DO_7_2010",26,0.669709577743729,0.425532206793421,0.000182473099074129,0.899663770558718
"DO_7_2011",27,0.636359427102164,0.381151453280265,0.00035942207358811,0.786522827307021
"DO_7_2012",25,0.543990661760929,0.265313920086706,0.00493890909433531,0.292553828722039
"DO_7_2013",24,0.774989245661431,0.582454164113186,8.72039892129214e-06,0.0169463675520416
"DO_7_2014",28,0.616393729688022,0.356092815767891,0.000478069425091086,0.915683875238049
"DO_7_2015",28,0.611314756906955,0.349617490935756,0.000548317716512748,0.69394217648016
"DO_7_2016",28,0.372365832337795,0.105527709750027,0.0510134662288278,0.473344227493269
