"spp","abu","occ","month","year"
"ana_pla",27.8958333333333,48,7,2009
"ana_str",14.5,28,7,2009
"ans_ans",31.8,20,7,2009
"ard_cin",3.33333333333333,48,7,2009
"ayt_fer",28.6571428571429,35,7,2009
"ayt_ful",22.047619047619,42,7,2009
"buc_cla",1.22222222222222,9,7,2009
"cyg_olo",4.79310344827586,29,7,2009
"cas_alb",1.625,8,7,2009
"ful_atr",11.5483870967742,31,7,2009
"lar_rid",20.1363636363636,22,7,2009
"net_ruf",3.45454545454545,11,7,2009
"nyc_nyc",4.44444444444444,9,7,2009
"pha_car",6.6875,16,7,2009
"pod_cri",8.92682926829268,41,7,2009
"ste_hir",8,8,7,2009
"tac_ruf",2.91666666666667,12,7,2009
