"spp","den","occ","month","year"
"ana_pla",1.45024969798895,97,5,2015
"ana_str",1.25998821123115,66,5,2015
"ans_ans",0.728682414999801,25,5,2015
"ard_cin",0.243386628003958,49,5,2015
"ayt_fer",1.55300887330825,46,5,2015
"ayt_ful",1.58649524712154,41,5,2015
"buc_cla",0.3783808287244,23,5,2015
"cyg_olo",0.371802005816701,50,5,2015
"cas_alb",0.161489253515056,6,5,2015
"ful_atr",0.795694071971926,25,5,2015
"lar_rid",1.49089439864611,29,5,2015
"net_ruf",0.619755665668625,26,5,2015
"nyc_nyc",0.197044334975369,1,5,2015
"pha_car",0.137817756726495,8,5,2015
"pod_cri",0.324115895626048,30,5,2015
"ste_hir",0.229452418203068,9,5,2015
"tac_ruf",0.236993297609358,7,5,2015
"van_van",0.166570924248653,11,5,2015
