"spp","abu","occ","month","year"
"ana_pla",7.48235294117647,85,5,2013
"ana_str",6.14545454545455,55,5,2013
"ans_ans",13.4583333333333,24,5,2013
"ard_cin",2.11627906976744,43,5,2013
"ayt_fer",18.3846153846154,39,5,2013
"ayt_ful",14.6744186046512,43,5,2013
"buc_cla",2.28,25,5,2013
"cyg_olo",2.84615384615385,39,5,2013
"cas_alb",1,1,5,2013
"ful_atr",3.96428571428571,28,5,2013
"lar_rid",101.9375,16,5,2013
"net_ruf",6.27777777777778,18,5,2013
"nyc_nyc",1,4,5,2013
"pha_car",11,7,5,2013
"pod_cri",9.65625,32,5,2013
"ste_hir",4.9375,16,5,2013
"tac_ruf",1.90909090909091,11,5,2013
