"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"DO_5_2005",18,0.67211985431958,0.417479167231234,0.00224755156704899,0.541206738384872
"DO_5_2006",18,0.681273112935408,0.430641370309246,0.00185163277100555,0.169899826938492
"DO_5_2007",17,0.670792643837039,0.41329362242761,0.00320386791462422,0.430154938252024
"DO_5_2008",18,0.709334961642765,0.47210334329679,0.00097852104588594,0.987094148046628
"DO_5_2009",18,0.704323709793478,0.464576381188326,0.00110225209370447,0.878559302737484
"DO_5_2010",16,0.765480161628618,0.556385583407473,0.000548138090052666,0.287689514433925
"DO_5_2011",18,0.631777988585326,0.361589891039728,0.00491478036766313,0.560260606328234
"DO_5_2012",18,0.684238410475367,0.434943590017973,0.00173649170854345,0.308937958393612
"DO_5_2013",17,0.498292325581622,0.198181591182444,0.0417748309229012,0.478520464354689
"DO_5_2014",18,0.612678290847144,0.336335606080088,0.00686744266887415,0.737999344752846
"DO_5_2015",18,0.675449963308283,0.422247193741484,0.00209614346725093,0.475292787915717
"DO_5_2016",18,0.512816861677952,0.216917454472551,0.0295373611202656,0.253280850853209
"DO_7_2005",18,0.700680838285377,0.459138239461568,0.00120014086500445,0.277636853177432
"DO_7_2006",17,0.225161230142804,-0.012589248469951,0.384909197201504,0.0901263803890759
"DO_7_2007",18,0.11627661654581,-0.0481347327224499,0.645898232486693,0.32394825388674
"DO_7_2008",17,0.379600784111629,0.0870365389847073,0.132881529505095,0.132832195780764
"DO_7_2009",17,0.605991468246765,0.325040703560395,0.00992441847995052,0.119449203124088
"DO_7_2010",17,0.295371975934278,0.0263942444451409,0.249732813744583,0.090345710104533
"DO_7_2011",18,0.698516580786351,0.455920751985545,0.00126164286628491,0.213827342664346
"DO_7_2012",18,0.267561863253834,0.0135636850846049,0.283092293822048,0.15737369117634
"DO_7_2013",18,0.713086146441893,0.477772593012808,0.000893669098396362,0.317971739784742
"DO_7_2014",18,0.61155643415471,0.334876351665776,0.00699921921066169,0.976505535446917
"DO_7_2015",18,0.377280920182201,0.0887371985293741,0.122723185217448,0.257738390883368
"DO_7_2016",18,0.597727565397822,0.317108132588683,0.00879824562167119,0.555790060544646
