"month","year","occ","spp_no","mean"
5,2005,508,27,18.8148148148148
7,2005,456,27,16.8888888888889
5,2006,570,31,18.3870967741935
7,2006,408,23,17.7391304347826
5,2007,508,33,15.3939393939394
7,2007,365,29,12.5862068965517
5,2008,568,31,18.3225806451613
7,2008,533,31,17.1935483870968
5,2009,575,34,16.9117647058824
7,2009,437,26,16.8076923076923
5,2010,527,26,20.2692307692308
7,2010,484,28,17.2857142857143
5,2011,539,32,16.84375
7,2011,424,30,14.1333333333333
5,2012,573,35,16.3714285714286
7,2012,495,29,17.0689655172414
5,2013,498,29,17.1724137931034
7,2013,421,25,16.84
5,2014,495,31,15.9677419354839
7,2014,424,31,13.6774193548387
5,2015,572,35,16.3428571428571
7,2015,497,33,15.0606060606061
5,2016,495,21,23.5714285714286
7,2016,378,29,13.0344827586207
