"spp","abu","occ","month","year"
"ana_cly",1,2,5,2008
"ana_cre",2,1,5,2008
"ana_pla",8.41111111111111,90,5,2008
"ana_que",1.75,4,5,2008
"ana_str",7.54929577464789,71,5,2008
"ans_ans",6.30769230769231,13,5,2008
"ard_cin",2.0188679245283,53,5,2008
"ayt_fer",8.87755102040816,49,5,2008
"ayt_ful",11.5833333333333,48,5,2008
"buc_cla",2.59090909090909,22,5,2008
"cha_dub",2,1,5,2008
"chl_nig",7,1,5,2008
"cic_nig",1,3,5,2008
"cir_aer",1,4,5,2008
"cyg_olo",4.19444444444444,36,5,2008
"cas_alb",2.15384615384615,13,5,2008
"ful_atr",5.21875,32,5,2008
"gal_chl",1,2,5,2008
"hal_alb",1,2,5,2008
"lar_rid",41.5483870967742,31,5,2008
"net_ruf",2.47368421052632,19,5,2008
"nyc_nyc",1.66666666666667,6,5,2008
"pha_car",7.9,10,5,2008
"pod_cri",6.73684210526316,38,5,2008
"pod_nig",17,1,5,2008
"ste_hir",24.3333333333333,3,5,2008
"tac_ruf",2,10,5,2008
"tri_och",1,2,5,2008
"van_van",1,2,5,2008
