"spp","den","occ","month","year"
"act_hyp",0.0429184549356223,1,7,2008
"alc_ath",0.154493609492976,9,7,2008
"ana_cre",0.223952924887504,2,7,2008
"ana_pla",4.03270495305243,57,7,2008
"ana_str",1.67125291691474,34,7,2008
"ans_ans",2.17303077646145,12,7,2008
"ard_cin",0.63285824603584,63,7,2008
"ayt_fer",0.861937753206932,43,7,2008
"ayt_ful",2.59158160343553,49,7,2008
"buc_cla",0.318124895175947,10,7,2008
"cha_dub",0.250166994744838,2,7,2008
"chl_nig",0.210970464135021,1,7,2008
"cic_nig",0.232055751415327,4,7,2008
"cir_aer",0.265502732561556,5,7,2008
"cyg_olo",0.550678227017343,39,7,2008
"cas_alb",0.252873085905882,13,7,2008
"ful_atr",2.00612586227741,36,7,2008
"gal_chl",0.221899123218308,5,7,2008
"hal_alb",0.0397780950929909,4,7,2008
"lar_rid",0.887845336279925,40,7,2008
"net_ruf",1.01027827352768,11,7,2008
"nyc_nyc",1.07423820639553,9,7,2008
"pha_car",0.285706764756419,20,7,2008
"phi_pug",0.379506641366224,1,7,2008
"pod_cri",0.361224570800591,35,7,2008
"pod_nig",0.0147058823529412,1,7,2008
"ste_hir",0.378626175563779,7,7,2008
"tac_ruf",0.807265600510793,27,7,2008
"tri_gla",0.281792548192023,2,7,2008
"tri_och",0.313418101639209,2,7,2008
