"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"AO_5_2005",27,0.633930921912915,0.377943150307652,0.00038467085094523,0.756121196308008
"AO_5_2006",29,0.708428043949104,0.483421045062944,1.7069883347255e-05,0.0819029959950553
"AO_5_2007",30,0.589914808553579,0.324713748541906,0.000601423906187461,0.458756742751035
"AO_5_2008",29,0.401536842099712,0.130166347991683,0.0308485704753186,0.461937877558899
"AO_5_2009",32,0.492510859832566,0.217319178621447,0.00418885268458181,0.57551607062798
"AO_5_2010",25,0.709614192532349,0.481967619732179,7.1134947090464e-05,0.0815504645284255
"AO_5_2011",30,0.590242968391141,0.325114860368584,0.000596160400932013,0.540777113547983
"AO_5_2012",33,0.612986470084736,0.355615393555557,0.000149142509130781,0.566971901186426
"AO_5_2013",27,0.607300272739355,0.343566166120067,0.000781395419047744,0.322250765718731
"AO_5_2014",30,0.609815465278878,0.349441862468056,0.000346799096679057,0.657631979593945
"AO_5_2015",33,0.791005434997669,0.613615069105395,4.28655097304064e-08,0.0372532725030254
"AO_5_2016",30,0.461302737057628,0.184685937188889,0.0102929366625254,0.137732002161529
"AO_7_2005",25,0.691529340114132,0.455526429466456,0.000128935436904067,0.776975825074934
"AO_7_2006",22,0.712189480224277,0.482574548529232,0.000200648221193487,0.161070801347669
"AO_7_2007",28,0.621540529621972,0.362709269576714,0.000415056312090163,0.808574835821853
"AO_7_2008",30,0.585821711639721,0.319729473465224,0.000670589767223771,0.174647295417589
"AO_7_2009",25,0.801593335830824,0.627010653267883,1.46264219030916e-06,0.432569048075638
"AO_7_2010",27,0.813800680516179,0.64876240951294,2.4396798492274e-07,0.0754626590917189
"AO_7_2011",29,0.709196377718321,0.484550594841705,1.65570134751362e-05,0.298714905482713
"AO_7_2012",28,0.60900502688787,0.346690473650645,0.000583145338467083,0.379550411222697
"AO_7_2013",25,0.606333268096421,0.340146120348333,0.00131387360756261,0.769360031395136
"AO_7_2014",31,0.645211678122334,0.396170458191832,8.8953554681699e-05,0.209986830524114
"AO_7_2015",31,0.732642758665465,0.520791805336147,2.78502428678836e-06,0.147798509788273
"AO_7_2016",29,0.611299408240104,0.350490187496728,0.00042686297325305,0.997560622443681
