"spp","abu","occ","month","year"
"ana_pla",12.8659793814433,97,5,2015
"ana_str",8.54545454545454,66,5,2015
"ans_ans",15.44,25,5,2015
"ard_cin",2.44897959183673,49,5,2015
"ayt_fer",22.6086956521739,46,5,2015
"ayt_ful",21.8536585365854,41,5,2015
"buc_cla",3.21739130434783,23,5,2015
"cyg_olo",6.72,50,5,2015
"cas_alb",3,6,5,2015
"ful_atr",11,25,5,2015
"lar_rid",43.0689655172414,29,5,2015
"net_ruf",8.57692307692308,26,5,2015
"nyc_nyc",2,1,5,2015
"pha_car",5.125,8,5,2015
"pod_cri",7.9,30,5,2015
"ste_hir",6.33333333333333,9,5,2015
"tac_ruf",1.57142857142857,7,5,2015
"van_van",2.18181818181818,11,5,2015
