pond,month,year,transp
2301,5,2005,30
2301,7,2005,17
2301,5,2006,40
2301,5,2007,80
2301,7,2008,50
2301,7,2009,30
2301,5,2011,151
2301,7,2011,40
2301,5,2012,40
2301,7,2012,37
2301,5,2013,90
2301,7,2013,40
2301,5,2015,100
2301,7,2015,25
2301,7,2016,35
2302,5,2005,25
2302,7,2005,15
2302,5,2006,150
2302,5,2007,100
2302,7,2008,40
2302,5,2009,60
2302,7,2009,40
2302,5,2011,80
2302,7,2011,60
2302,5,2012,80
2302,7,2012,48
2302,5,2014,70
2302,7,2014,50
2302,7,2015,50
2302,7,2016,20
2303,7,2005,30
2303,5,2007,80
2303,7,2008,30
2303,5,2009,30
2303,7,2009,5
2303,5,2011,20
2303,7,2011,10
2303,5,2012,85
2303,7,2012,30
2303,5,2013,100
2303,7,2013,20
2303,5,2014,30
2303,7,2014,20
2303,5,2015,50
2303,7,2015,20
2303,5,2016,95
2303,7,2016,70
2304,5,2005,25
2304,7,2005,20
2304,5,2006,45
2304,5,2007,50
2304,7,2008,25
2304,5,2009,20
2304,7,2009,20
2304,5,2011,80
2304,7,2011,10
2304,5,2012,45
2304,7,2012,22
2304,5,2013,35
2304,7,2013,15
2304,7,2014,30
2304,5,2015,50
2304,7,2015,15
2304,5,2016,90
2304,7,2016,40
2305,5,2005,120
2305,7,2005,30
2305,5,2006,150
2305,5,2007,80
2305,7,2008,35
2305,5,2009,40
2305,7,2009,30
2305,5,2011,20
2305,7,2011,10
2305,5,2012,50
2305,7,2012,20
2305,5,2013,18
2305,7,2013,25
2305,5,2014,40
2305,7,2014,30
2305,5,2015,50
2305,7,2015,15
2305,5,2016,120
2305,7,2016,25
2306,5,2005,70
2306,7,2005,30
2306,5,2006,150
2306,5,2007,80
2306,7,2009,10
2306,5,2011,60
2306,7,2011,60
2306,5,2012,60
2306,7,2012,25
2306,5,2013,40
2306,7,2013,25
2306,7,2014,15
2306,5,2015,50
2306,7,2015,5
2306,7,2016,10
2307,5,2005,100
2307,7,2005,30
2307,5,2006,150
2307,5,2007,80
2307,5,2009,70
2307,7,2009,60
2307,5,2011,151
2307,7,2011,10
2307,5,2012,50
2307,7,2012,20
2307,5,2013,45
2307,7,2013,35
2307,7,2014,20
2307,5,2015,50
2307,7,2015,10
2307,5,2016,45
2307,7,2016,50
2308,5,2005,80
2308,7,2005,30
2308,5,2006,35
2308,5,2007,20
2308,7,2008,50
2308,5,2009,35
2308,7,2009,10
2308,5,2011,40
2308,7,2011,10
2308,5,2012,35
2308,7,2012,15
2308,5,2013,18
2308,7,2013,10
2308,7,2014,10
2308,5,2015,60
2308,7,2015,30
2308,5,2016,22
2308,7,2016,35
2309,5,2005,40
2309,7,2005,25
2309,5,2006,150
2309,5,2007,80
2309,7,2008,20
2309,5,2009,30
2309,7,2009,10
2309,5,2011,30
2309,7,2011,10
2309,5,2012,40
2309,7,2012,8
2309,5,2013,80
2309,7,2013,20
2309,7,2014,10
2309,5,2015,100
2309,7,2015,15
2309,7,2016,40
2314,7,2005,10
2314,5,2007,25
2314,7,2008,5
2314,5,2009,10
2314,7,2009,15
2314,5,2011,20
2314,7,2011,10
2314,5,2012,67
2314,7,2012,60
2314,5,2013,65
2314,7,2013,8
2314,5,2014,55
2314,7,2014,10
2314,5,2015,20
2314,7,2015,15
2314,5,2016,20
2314,7,2016,15
2315,7,2005,20
2315,5,2007,60
2315,7,2008,5
2315,5,2009,25
2315,7,2009,10
2315,5,2011,15
2315,7,2011,10
2315,5,2012,35
2315,7,2012,28
2315,5,2013,22
2315,7,2013,15
2315,5,2014,20
2315,7,2014,10
2315,5,2015,30
2315,7,2015,10
2315,5,2016,20
2315,7,2016,15
2319,7,2005,20
2319,5,2007,20
2319,7,2008,20
2319,5,2009,20
2319,7,2009,15
2319,5,2011,20
2319,7,2011,10
2319,5,2012,25
2319,7,2012,20
2319,5,2013,20
2319,7,2013,20
2319,5,2015,25
2319,7,2015,15
2319,5,2016,37
2319,7,2016,20
2320,7,2005,20
2320,5,2007,65
2320,5,2009,45
2320,7,2009,7
2320,5,2011,40
2320,7,2011,20
2320,5,2012,60
2320,7,2012,30
2320,5,2013,20
2320,7,2013,40
2320,5,2014,40
2320,7,2014,10
2320,5,2015,40
2320,7,2015,15
2320,5,2016,37
2320,7,2016,15
2321,7,2005,20
2321,5,2007,32
2321,5,2009,25
2321,7,2009,15
2321,5,2011,10
2321,7,2011,10
